Species,Group,Origin ,Pathway,AccSpeciesID,Growth,Family,Group2,Duration,Max_height_cm
Acalypha rhomboidea,Forbs,Native,,,Forbs,Euphorbiaceae,Dicot,Annual,
Acalypha sp.,Forbs,Native,,,Forbs,Euphorbiaceae,Dicot,Annual,
Acalypha virginica,Forbs,Native,,,Forbs,Euphorbiaceae,Dicot,Annual,
Acer rubrum,Woody ,Native,,,Woody,Aceraceae,Dicot,Perennial,
Aira caryophyllea ,Grasses,Exotic,C3,,C3,Poaceae,Monocot,Annual,
Allium vineale,Forbs,Exotic,,2590,Forbs,Liliaceae ,Monocot,Perennial,
Ambrosia artemisiifolia,Forbs,Native,,,Forbs,Asteraceae,Dicot,Annual,
Andropogon virginicus ,Grasses,Native,C4,3639,C4,Poaceae,Monocot,Perennial,36.3
Anthoxanthum odoratum,Grasses,Exotic,C3,4036,C3,Poaceae,Monocot,Perennial,49.5
Apocynum cannibinum,Forbs,Native,,4237,Forbs,Apocynaceae,Dicot,Perennial,108.7
Asclepias syriaca,Forbs,Native,,,Forbs,Asclepiadaceae,Dicot,Perennial,
Campsis radicans,Woody ,Native,,,Woody,Bignoniaceae,Dicot,Perennial,
Carex # 2 leathery,Grasses,X,C3,,C3,Cyperaceae,Monocot,Perennial,
Carex complanata.,Grasses,Native,C3,,C3,Cyperaceae,Monocot,Perennial,47.4
Carex sp.,Grasses,X,C3,,C3,Cyperaceae,Monocot,Perennial,
Celtis laevigata,Woody ,Native,,11491,Woody,Ulmaceae,Dicot,Perennial,
Cercis canadensis,Woody ,Native,,,Woody,Fabaceae,Dicot,Perennial,
Chamaecrista nictitans ,Legumes,Native,,,Forbs,Fabaceae,Dicot,Perennial,
Conyza canadensis,Forbs,Native,,21638,Forbs,Asteraceae,Dicot,Annual,94.9
Cornus florida,Woody ,Native,,,Woody,Cornaceae ,Dicot,Perennial,
Cynodon dactylon,Grasses,Exotic,C4,,C4,Poaceae,Monocot,Perennial,
Dactylis glomeratus,Grasses,Exotic,C3,,C3,Poaceae,Monocot,Perennial,
Danthonia spicata,Grasses,Native,C3,,C3,Poaceae,Monocot,Perennial,
Daucus carota,Forbs,Exotic,,,Forbs,Apiaceae,Dicot,Biennial,39
Desmodium sp.,Legumes,Native,,,Legumes,Fabaceae,Dicot,Perennial,
Dichanthelium dichotomum,Grasses,Native,C3,,C3,Poaceae,Monocot,Perennial,38
"Dichanthelium sp. (""fuzzy panicum"")",Grasses,Native,C3,,C3,Poaceae,Monocot,Perennial,
Digitaria sanguinalis,Grasses,Exotic,C4,18103,C4,Poaceae,Monocot,Annual,47.6
Diodia teres,Forbs,Native,,,Forbs,Rubiaceae,Dicot,Perennial,
Eragrostis capillaris,Grasses,Native,C4,,C4,Poaceae,Monocot,Annual,37
Erechtites hieraciifolia,Forbs,Native,,,Forbs,Asteraceae,Dicot,Annual,
Erigeron annuus,Forbs,Native,,,Forbs,Asteraceae,Dicot,Annual,88.2
Erigeron strigosus,Forbs,Native,,,Forbs,Asteraceae,Dicot,Annual,
Eupatorium capillaris,Forbs,Native,,,Forbs,Asteraceae,Dicot,Perennial,
Fragaria sp.,Forbs,Native,,,Forbs,Rosacea,Dicot,Perennial,
Fraxinus sp.,Woody ,Native,,,Woody,Oleaceae,Dicot,Perennial,
Fuzzy Auricle Dichanthelium,Grasses,Native,C3,,C3,Poaceae,Monocot,Perennial,
Galium sp.,Forbs,Exotic,,,Forbs,Rubiaceae,Dicot,Annual,
Gamochaeta purpurea,Forbs,Native,,,Forbs,Asteraceae,Dicot,Annual,
Holcus lanatus,Grasses,Exotic,C3,29305,C3,Poaceae,Monocot,Perennial,35.3
Houstonia sp.,Forbs,Native,,,Forbs,Rubiaceae,Dicot,X,
Hypericum sp.,Forbs,X,,,Forbs," 	Clusiaceae ",Dicot,X,
Ipomea sp.,Forbs,X,,,Forbs,X,X,X,
Juncus sp.,Grasses,X,C3,,C3,Juncaceae,Monocot,X,
Juniperus virginiana,Woody ,Native,,31598,Woody,Cupressaceae,Gymnosperm,Perennial,
Kummerowia stipulacea,Legumes,Exotic,,,Forbs,Fabaceae,Dicot,Annual,
Lespedeza cuneata,Legumes,Exotic,,33012,Forbs,Fabaceae,Dicot,Perennial,101
Leucanthemum vulgare,Forbs,Exotic,,,Forbs,Asteraceae,Dicot,Perennial,
Liquidambar styraciflua,Woody ,Native,,,Woody,Hamamelidaceae,Dicot,Perennial,
Liriodendron tulipifera,Woody ,Native,,,Woody,Magnoliaceae,Dicot,Perennial,
Litter,Other,X,,,Other,X,X,X,
Lonicera japonica,Woody ,Exotic,,34141,Woody,Caprifoliaceae,Dicot,Perennial,48.2
Medicago sp.,Legumes,X,,,Legumes,X,X,X,
Oxalis dillenii,Forbs,Native,,39581,Forbs,Oxalidaceae ,Dicot,Perennial,31.2
Packera anonyma,Forbs,Native,,,Forbs,Asteraceae,Dicot,Perennial,28.9
Parthenocissus quinquefolia,Woody ,Native,,40428,Woody,Vitaceae,Dicot,Perennial,
Paspalum dilatatum,Grasses,Exotic,C4,40457,C4,Poaceae,Monocot,Perennial,
Paspalum floridanum,Grasses,Native,C4,,C4,Poaceae,Monocot,Perennial,
Paspalum notatum,Grasses,Native,C4,40469,C4,Poaceae,Monocot,Perennial,
Paspalum_sp,Grasses,X,C4,,C4,Poaceae,Monocot,Perennial,
Physalis sp.,Forbs,X,,,Forbs,Solanaceae,Dicot,X,
Pinus taeda,Woody ,Native,,42188,Woody,Pinaceae,Gymnosperm,Perennial,
Plantago aristata,Forbs,Native,,,Forbs,Plantaginaceae,Dicot,Perennial,
Plantago lanceolata,Forbs,Exotic,,42541,Forbs,Plantaginaceae,Dicot,Perennial,33.5
Poa pratensis,Grasses,Exotic,C3,42870,C3,Poaceae,Monocot,Perennial,
Prunella vulgaris,Forbs,Native,,,Forbs,Lamiaceae,Dicot,Perennial,
Ranunculus sp.,Forbs,X,,,Forbs,Ranunculaceae,Dicot,X,
Rosa multiflora,Woody ,Exotic,,46762,Woody,Rosaceae,Dicot,Perennial,
Rubus argutus,Woody ,Native,,46917,Woody,Rosaceae,Dicot,Perennial,
Rumex acetosella,Forbs,Exotic,,,Forbs,Polygonaceae,Dicot,Perennial,56.2
Salvia lyrata,Forbs,Native,,,Forbs,Lamiaceae,Dicot,Perennial,24
Sassafras albidum,Woody ,Native,,,Woody,Lauraceae,Dicot,Perennial,
Schedonorus arundinaceus,Grasses,Exotic,C3,24150,C3,Poaceae,Monocot,Perennial,65.8
Schizachyrium scoparium,Grasses,Native,C4,,C4,Poaceae,Monocot,Perennial,41.6
Scutellaria integrifolia,Forbs,Native,,,Forbs,Lamiaceae,Dicot,Perennial,48.7
